2019|Badla|Woh moorkh hota hai joh sirf sach ko hi jaanta hai ... aur sach aur jhooth ke fark ko nahi jaanta hai|Amitabh Bachchan|Reality Check|Not Uploaded
2019|Badla|Badla lena har baar sahi nahi hota ... lekin maaf kar dena bhi har baar sahi nahi hota|Amitabh Bachchan|Vengeance|Not Uploaded
2019|Badla|Sabka sach alag alag hota hai|Amitabh Bachchan|Reality Check|Not Uploaded
2019|Badla|Taqat ka nasha sabse bura nasha hota hai ... kyun ki jisse taqat ka nasha hota hai ... woh aankhen khuli hokar bhi dekh nahi paata ki woh kab girne wala hai|Amrita Singh|Dramatic|Not Uploaded
2019|Bharat|Aksar log mujhse poochte hai ki mera surname kya hai, jaati kya hai, dharam kya hai ... aur main unse muskurake kehta hoon ... ki is desh ke naam pe mere bauji ne mera naam Bharat rakha ... ab itne badhe naam ke aage jaati, dharam, surname lagake na toh apna aur na hi is desh ka maan kam kar sakta hoon|Salman Khan|Patriotic|Not Uploaded
2019|Bharat|Kuch rishtey zindagi se hote hai aur kuch rishtey khoon se ... mera paas dono hi the|Salman Khan|Dramatic|Not Uploaded
2019|Bombairiya|Hum jitna bhi logon se bhaage ya soche ki woh hi hamari problem hai ... par hum ek doosre ke solution bhi hai|Radhika Apte|Inspiration|Not Uploaded
2019|Bombairiya|Do niyam yaad rakhna is shehar ke baare mein ... property ki kimat per square foot duniya mein sabse zyada hai ... aur number of idiots per square foot woh bhi duniya mein sabse zyada hai|Adil Hussain|Funny|Not Uploaded
2019|Cabaret|Dil kyun kisi par aitbaar karta hai ... yeh bas dil hi jaanta hai|Richa Chadda|Love|Not Uploaded
2019|Cabaret|Dil joh karta hai woh kyun karta hai ... yeh toh bas dil hi jaanta hai|Gulshan Devaiah|Love|Not Uploaded
2019|Ek Ladki Ko Dekha Toh Aisa Laga|True love ke raste mein koi na koi siyappa hota hi hota hai ... agar na ho toh love story mein feel kaise aayegi|Sonam Kapoor|Love|Not Uploaded
